Bet,Team,Total,ExactBet,Date,Market,Other,LineTaken,Edge,BetType,RichStake,Grade,ExpProfit,Profit
386,Sacramento ,False,Sacramento Kings +20 L,2026-01-25,-111,-120,150,22.7,spread,1050.0,L,238,-1050
386,Sacramento ,False,Sacramento Kings +19.5 L,2026-01-25,-112,-118,180,38.3,spread,910.0,L,349,-910
387,Sacramento ,True,Sacramento Kings u264 L,2026-01-25,-117,-109,133,18.4,total,700.0,W,129,931
388,Santa ,True,Santa Clara o152.5 L,2026-01-25,-112,-119,120,8.5,total,262.5,W,22,315
388,Santa ,True,Santa Clara o151.5 L,2026-01-25,-119,-111,123,13.3,total,245.0,W,33,301
389,Toronto ,False,Toronto Raptors +5.5 L,2026-01-25,125,-131,160,14.2,spread,1522.5,W,216,2436
390,Toronto ,True,Toronto Raptors o106.5 1h L,2026-01-25,-130,130,-112,7.0,total,912.8,L,64,-912
391,USC ,True,USC u147.5 L,2026-01-25,101,-150,123,1.1,total,787.5,W,9,968
392,Utah ,False,Utah Jazz +15.5 L,2026-01-25,-157,118,-104,12.0,spread,2572.5,L,309,-2572
392,Utah ,False,Utah Jazz +18.5 L,2026-01-25,-193,193,-149,10.1,spread,3675.0,L,371,-3675
393,Wisconsin ,False,Wisconsin -0.5 L,2026-01-25,-114,-114,118,9.0,spread,1347.5,L,121,-1347
394,Brooklyn ,True,Brooklyn Nets u213.5 L,2026-01-26,110,-116,140,12.8,total,875.0,L,112,-875
394,Brooklyn ,True,Brooklyn Nets u210.5 L,2026-01-26,150,-150,143,-2.8,total,840.0,L,-24,-840
394,Brooklyn ,True,Brooklyn Nets u209.5 L,2026-01-26,-192,192,-152,9.0,total,1493.8,L,134,-1493
394,Brooklyn ,True,Brooklyn Nets u208.5 L,2026-01-26,-122,-108,120,13.1,total,821.8,L,108,-821
395,Miami ,False,Miami Heat -14.5 L,2026-01-26,-108,-112,160,28.9,spread,616.0,L,178,-616
395,Miami ,False,Miami Heat -13.5 L,2026-01-26,-131,131,135,33.3,spread,1217.3,L,405,-1217
396,Miami ,True,Miami Heat u208.5 L,2026-01-26,162,-205,210,12.3,total,469.0,L,58,-469
396,Miami ,True,Miami Heat u210.5 L,2026-01-26,146,-146,205,24.0,total,480.9,L,115,-480
397,Ball ,False,Ball State ml L,2026-02-11,447,-447,510,11.5,moneyline,163.1,L,19,-163
398,Ball ,True,Ball state o163.5,2026-02-11,118,-118,118,0.0,total,385.0,L,0,-385
399,Brooklyn ,False,Brooklyn Nets -11.5 L,2026-02-11,165,-165,195,11.3,spread,1166.2,L,132,-1166
399,Brooklyn ,False,Brooklyn Nets -9.5 L,2026-02-11,102,-102,118,7.9,spread,1960.0,L,155,-1960
399,Brooklyn ,False,Brooklyn Nets +2.5 L,2026-02-11,-169,169,-133,10.1,spread,2221.1,L,224,-2221
400,Cincinnati ,True,Cincinnati u162.5 L,2026-02-11,-120,120,102,10.2,total,171.5,W,17,174
401,Cleveland ,False,Cleveland Cavaliers -15.5 L,2026-02-11,-208,208,-164,8.7,spread,4042.5,W,352,2464
401,Cleveland ,False,Cleveland Cavaliers -14.5 L,2026-02-11,-193,193,-148,10.4,spread,3500.0,W,364,2364
402,Eastern ,True,Eastern Michigan o170.5 L,2026-02-11,-108,108,114,11.1,total,438.2,W,49,499
