Unique Bet Rule 1,Team,Total?,Unnamed: 3,Bet,Book,Date,Market,Other    ,LineTaken   ,Edge  ,Ignore,TrueL,Decim,Betsize    ,Sport,Unnamed: 16,Opp,Total Stake,Rich Stake,Other Stake,Grade,CloseLine    ,CloseOther    ,Ignore.1,CloseEdge,Trueline,Net,ExpWinPlace,Date.1,RunExpWinPlace,RunNet,Bankroll,Kelly,Time,PIN M,PIN M$,PIN O,PIN O$,BM M,BM O,PM M,PM M$,PM O,PM O$,ST M,ST M$,ST O,ST O$,KAL M,KAL M$,KAL O,KAL O$,FD M,FD O,BOL M,BOL O,BOV M,BOV O,NV M,NV M$,NV O,NV O$,PX M,PX M$,PX O,PX O$,CZR M,CZR O,BM M$,BM O$,DK M,DK O,4C M,4C M$,4C O,4C O$
10,Pelicans ,1,2024-11,Pelicans 1h u115.5,FWmb,2024-11-01,-141,113,-122,0.009554488292799423,0.005250664737484367,-124.61825726141083,1.819672131147541,706.4735036164195,NBA,total,,,398.23,398.23,L,,,,,,-398.23,3.8048838728415144,2024-11-01,53810.90974247142,20817.396533333347,121215.6265333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pelicans ,1,2024-11,Pelicans 1h u114.5,PEmb,2024-11-01,-128,103,-106,0.03511822620469455,0.01807054358105642,-113.9649122807018,1.9433962264150944,2248.733110287537,NBA,total,,,684.035,684.035,L,,,,,,-684.035,24.022095861928236,2024-11-01,53834.931838333345,20133.361533333347,120817.3965333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pelicans ,1,2024-11,Pelicans 1h u113.5,PEmb,2024-11-01,-120,104,108,0.09549053356282278,0.04590891036674172,-111.27272727272727,2.08,5310.925366441433,NBA,total,,,578.5,578.5,L,,,,,,-578.5,55.24127366609298,2024-11-01,53890.17311199944,19554.861533333347,120133.3615333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pelicans ,1,2024-11,Pelicans 1h u115.5,PEmb,2024-11-01,-141,113,-122,0.009554488292799423,0.005250664737484367,-124.61825726141083,1.819672131147541,696.794170169169,NBA,total,,,792.48,792.48,L,,,,,,-792.48,7.5717408822776875,2024-11-01,53897.74485288171,18762.381533333348,119554.8615333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pelicans ,1,2024-11,Pelicans 1h u114.5,BRmb,2024-11-01,-128,103,-106,0.03511822620469455,0.01807054358105642,-113.9649122807018,1.9433962264150944,2210.4838150267956,NBA,total,,,343.735,343.735,L,,,,,,-343.735,12.07136348447068,2024-11-01,53909.816216366184,18418.646533333347,118762.3815333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pelicans ,1,2024-11,Pelicans 1h u113.5,BRmb,2024-11-01,-120,104,108,0.09549053356282278,0.04590891036674172,-111.27272727272727,2.08,5235.120250581166,NBA,total,,,302.36,302.36,L,,,,,,-302.36,28.872517728055097,2024-11-01,53938.68873409424,18116.286533333347,118418.6465333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pelicans ,1,2024-11,Pelicans 1h u115.5,BRmb,2024-11-01,-141,113,-122,0.009554488292799423,0.005250664737484367,-124.61825726141083,1.819672131147541,688.4098128917225,NBA,total,,,398.23,398.23,L,,,,,,-398.23,3.8048838728415144,2024-11-01,53942.493617967084,17718.056533333347,118116.2865333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pistons ,0,2024-11,Pistons 1h ml,FWmb,2024-11-01,154,-175,185,0.0892981236970119,0.03133267498140768,161.63636363636365,2.85,2915.1372850953844,NBA,moneyline,,,294.18,294.18,L,,,,,,-294.18,26.269722029186962,2024-11-01,53803.74704661775,20492.321533333346,120786.5015333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Raptors ,0,2024-11,Raptors 1h ml,FWmb,2024-11-01,229,-270,265,0.0732734641977268,0.020074921698007342,240.08108108108115,3.65,1672.734704411507,NBA,moneyline,,,205.375,205.375,L,,,,,,-205.375,15.048537709608143,2024-11-01,53778.77076666714,20786.501533333347,120991.8765333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Trail ,0,2024-11,Trail Blazers 1h ml,FWmb,2024-11-01,254,-303,340,0.20166438513980584,0.045832814804501326,266.15880893300243,4.4,3588.1988805891147,NBA,moneyline,,,160.07,160.07,P,,,,,,0.0,32.280418129328716,2024-11-01,53729.43928348377,20991.876533333347,120991.8765333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
