Bet,Team,Total,ExactBet,Date,Market,Other,LineTaken,Edge,BetType,RichStake,Grade,Profit
320,Florida ,False,Florida State +8.5 L,2026-01-24,-155,114,-103,11.4,spread,507.5,W,492
320,Florida ,False,Florida ml L,2026-01-24,-128,100,116,14.2,spread,1400.0,L,-1400
321,Florida ,True,Florida State u160.5 L,2026-01-24,100,-100,108,4.0,total,280.0,L,-280
322,Georgia ,False,Georgia State ml L,2026-01-24,138,-179,170,6.8,moneyline,280.0,W,476
323,Georgia ,True,Georgia u155.5 L,2026-01-24,-130,102,125,19.9,total,245.0,W,306
324,Grand ,False,Grand Canyon -3.5 L,2026-01-24,-120,-107,100,2.7,spread,490.0,W,490
325,Houston ,True,Houston u179.5 L,2026-01-24,180,-180,180,0.0,total,175.0,W,315
325,Houston ,True,Houston o182.5 L,2026-01-24,-112,-118,123,10.1,total,245.0,L,-245
326,Indiana ,False,Indiana State +1.5 L,2026-01-24,-110,100,112,8.5,spread,297.5,L,-297
327,Iona ,False,Iona -9.5 L,2026-01-24,-113,113,-113,0.0,spread,420.0,L,-420
328,Jacksonville ,False,Jacksonville ml L,2026-01-24,162,-220,185,1.7,moneyline,262.5,W,485
329,Kent ,False,Kent State ml L,2026-01-24,-188,146,-132,8.3,moneyline,630.0,W,477
329,Kent ,False,Kent State ml L,2026-01-24,-174,136,-115,12.1,moneyline,560.0,W,486
329,Kent ,False,Kent State ml L,2026-01-24,116,-162,185,22.0,moneyline,262.5,W,485
330,Kentucky ,False,Kentucky -7.5 L,2026-01-24,-113,-102,118,11.7,spread,262.5,W,309
331,Lafayette ,False,Lafayette +2.5 L,2026-01-24,-125,-105,117,12.9,spread,402.5,L,-402
331,Lafayette ,False,Lafayette ml L,2026-01-24,315,-315,400,20.5,moneyline,122.5,L,-122
332,LSU ,True,LSU o167.5 L,2026-01-24,-110,-120,143,19.0,total,685.3,L,-685
333,Manhattan ,True,Manhattan o119.5 L,2026-01-24,-108,108,112,10.1,total,280.0,W,313
334,Maryland ,False,Maryland +41.5 L,2026-01-24,104,-104,123,9.3,spread,245.0,L,-245
334,Maryland ,False,Maryland +42.5 L,2026-01-24,116,-116,116,0.0,spread,262.5,L,-262
335,Memphis ,False,Memphis +16.5 L,2026-01-24,-171,113,114,22.7,spread,420.0,W,478
335,Memphis ,False,Memphis +14.5 L,2026-01-24,-280,200,-156,13.0,spread,752.5,L,-752
336,Mercer ,False,Mercer +2.5 L,2026-01-24,-140,114,100,11.0,spread,315.0,L,-315
337,Miami ,False,Miami Florida -10.5 L,2026-01-24,-110,-121,125,10.0,spread,245.0,L,-245
338,Michigan ,False,Michigan State -27.5 L,2026-01-24,-115,-115,120,10.0,spread,262.5,W,315
338,Michigan ,False,Michigan State -28.5 L,2026-01-24,-109,-126,128,10.2,spread,245.0,W,313
338,Michigan ,False,Michigan State -30.5 L,2026-01-24,-110,-126,130,11.4,spread,227.5,W,295
339,Milwaukee ,False,Milwaukee ml L,2026-01-24,138,-182,190,14.4,moneyline,245.0,W,465
340,Missouri ,False,Missouri State ml L,2026-01-24,-104,-125,123,6.7,moneyline,420.0,W,516
341,Montana ,False,Montana State ml L,2026-01-24,-190,190,-133,14.8,moneyline,647.5,W,486
342,North ,False,North Carolina -2.5 L,2026-01-24,-130,-102,110,10.9,spread,280.0,W,308
343,Northern ,False,Northern Iowa -9.5 L,2026-01-24,-137,-105,112,12.4,spread,280.0,L,-280
343,Northern ,False,Northern Iowa ml L,2026-01-24,-265,269,-192,10.7,moneyline,945.0,W,492
344,Oklahoma ,True,Oklahoma o152.5 L,2026-01-24,-114,-101,112,9.1,total,280.0,W,313
345,Ole ,False,Ole Miss ml L,2026-01-24,246,-356,480,56.7,moneyline,87.5,L,-87
346,Orlando ,False,Orlando Magic 2q ml L,2026-01-24,164,-213,280,35.9,2q moneyline,315.0,L,-315
347,Princeton ,False,Princeton -7.5 L,2026-01-24,-135,100,108,11.2,spread,280.0,W,302
348,Providence ,False,Providence ml L,2026-01-24,-111,-105,105,3.9,moneyline,455.0,L,-455
349,Seattle ,False,Seattle +6.5 L,2026-01-24,-114,-114,116,8.0,spread,420.0,W,487
350,South ,False,South Carolina +31.5 L,2026-01-24,-127,-104,117,13.5,spread,262.5,W,307
351,South ,True,South Carolina u151.5 L,2026-01-24,-120,-110,123,13.8,total,245.0,L,-245
351,South ,True,South Carolina u161.5 L,2026-01-24,-154,116,-108,9.2,total,332.5,W,307
352,St. ,False,St. John's -0.5 L,2026-01-24,-137,-101,112,13.4,spread,280.0,W,313
353,St. ,True,St. John's u169.5 L,2026-01-24,-112,-123,128,11.5,total,245.0,L,-245
354,Stephen ,False,Stephen F. Austin ml L,2026-01-24,-211,211,-133,18.9,moneyline,857.5,W,644
355,Syracuse ,False,Syracuse +3.5 L,2026-01-24,-117,101,118,13.4,spread,262.5,L,-262
356,TCU ,True,TCU u157.5 L,2026-01-24,-133,-101,123,18.6,total,245.0,L,-245
356,TCU ,True,TCU o153.5 L,2026-01-24,-170,122,102,17.8,total,297.5,W,303
357,Temple ,True,Temple o133.5 L,2026-01-24,-105,-125,120,5.5,total,262.5,W,315
358,Texas ,False,Texas Tech ml L,2026-01-24,140,-163,175,10.6,moneyline,280.0,W,490
